date,desc,star,title,writer
21.01.20,,8,라라랜드,mina****
21.01.20,,10,커넥트,blue****
21.01.20,,10,커넥트,ayun****
21.01.20,,5,판도라,jk32****
21.01.20,,10,소울,iams****
21.01.20,,10,소울,tkek****
21.01.20,,8,조제,alsw****
21.01.20,,10,디태치먼트,heop****
21.01.20,,10,곰돌이 푸 다시 만나 행복해,nhkw****
21.01.20,,10,소울,nuri****
date,desc,star,title,writer
21.01.20,,10,지옥의 묵시록,show****
21.01.20,,8,소울,dins****
21.01.20,,10,소울,vian****
21.01.20,,3,아이 캔 스피크,pont****
21.01.20,,2,국제수사,silv****
21.01.20,,10,소울,rhap****
21.01.20,,10,커넥트,rose****
21.01.20,,10,커넥트,mich****
21.01.20,,8,소울,tear****
21.01.20,,10,카트,yksc****
date,desc,star,title,writer
21.01.20,"
			
			
				",7,후쿠오카,njoi****
21.01.20,"
			
			
			
			",10,지옥의 묵시록,show****
21.01.20,"
			",8,소울,dins****
21.01.20,"무슨말을 하고싶은지는 모르겠으나 영화적 체험은 충분 
			
			
			
				
				
				
				",10,소울,vian****
21.01.20,"
			
			
			",3,아이 캔 스피크,pont****
21.01.20,"
			
			
				",2,국제수사,silv****
21.01.20,"
			
			
			
			",10,소울,rhap****
21.01.20,"
			",10,커넥트,rose****
21.01.20,"찰리 쉰과 말론브란도의 조합, 연출, 영상미 등 무엇하나 빠지지 않는 명작. 
			
			
			
				
				
				
				",10,커넥트,mich****
21.01.20,"
			
			
			",8,소울,tear****
date,desc,star,title,writer
21.01.20,"
			
			
				",10,소울,chde****
21.01.20,"
			
			
			
			",6,내언니전지현과 나,njoi****
21.01.20,"
			",7,후쿠오카,njoi****
21.01.20,"살아가야 할 이유는 대단한 것이 아닌 아주 작은것에서도 찾을 수 있다. 너무도 당연하게 생각하지만 가장 소중한 것은 평범한 일상이라는 메세지가 이 시기에 더 와닿는다. 
			
			
			
				
				
				
				",10,지옥의 묵시록,show****
21.01.20,"
			
			
			",8,소울,dins****
21.01.20,"
			
			
				",10,소울,vian****
21.01.20,"
			
			
			
			",3,아이 캔 스피크,pont****
21.01.20,"
			",2,국제수사,silv****
21.01.20,"현생도 매크로 안돌리면 바보취급 당하는 세상 
			
			
			
				
				
				
				",10,소울,rhap****
21.01.20,"
			
			
			",10,커넥트,rose****
date,desc,star,title,writer
21.01.20,코코가 슬픈기억과 죽음을 아름답게 표현했다면소울은 탄생과 살아가야하는 이유를 따뜻하게 표현했다..정말 픽사의 상상력은 어디까지인가...,10,소울,noye****
21.01.20,살아가야 할 이유는 대단한 것이 아닌 아주 작은것에서도 찾을 수 있다. 너무도 당연하게 생각하지만 가장 소중한 것은 평범한 일상이라는 메세지가 이 시기에 더 와닿는다.,10,소울,chde****
21.01.20,현생도 매크로 안돌리면 바보취급 당하는 세상,6,내언니전지현과 나,njoi****
21.01.20,무슨말을 하고싶은지는 모르겠으나 영화적 체험은 충분,7,후쿠오카,njoi****
21.01.20,"찰리 쉰과 말론브란도의 조합, 연출, 영상미 등 무엇하나 빠지지 않는 명작.",10,지옥의 묵시록,show****
21.01.20,멈추면 비로소 보이는 것들 ....,8,소울,dins****
21.01.20,와 진짜 픽사를 갈아 넣은 작품!,10,소울,vian****
21.01.20,공공기관 민폐녀.영어열폭.공짜과외.미국의회연설등으로 2시간씩 이어지는 뜬금없음의 연속. 목적이 좋으므로 과정은 엉망이 되도 상관없다?,3,아이 캔 스피크,pont****
21.01.20,뭐하나 딱 볼만하다 하는 요소가 없음...스토리도 흥미롭지않고 영상미도 별로임 특히 티나는 저급CG는 눈쌀이 찌푸려질 수준.. 그마나 연기자들 연기는 평타지만 케릭터의 신선함이 1도 없어서 연기도 어디서 본듯한 평이한 느낌이 들정도..최근평점을 보고 볼걸.. 시간낭비,2,국제수사,silv****
21.01.20,애들보단 어른들이 더 감동받을 영화같아요. 어떻게 보면 평범한 주제지만 중요한 이야기를 다뤄서 좋아요.,10,소울,rhap****
date,desc,star,title,writer
21.01.20,너무 힘든시기에 큰 울림을 주었습니다.거창한 목표나 목적이 없다고해서 살아가는 의미가 없는것은 아닙니다.과거와 미래에 잡혀있지않는 현재를 열심히 살아가는 사람이 되어야겠다고 느낀 영화입니다.,10,소울,ekdu****
21.01.20,"각 인물들이 보여주는 자멸.. 그로 인해 스스로 생각하게 되는 내 자멸은 무엇인가.. 시간이 지나도 영화의 이 영화의 영상미는 계속 기억 될 것 같아요. 아름다움, 신비로움",8,서던 리치: 소멸의 땅,dnfl****
21.01.20,재즈영화여서 귀 호강을 기대하고 봤더니 심금을 울리네,10,소울,leah****
21.01.20,소재 참신!!연출과 긴장감 굿!!!사운드 빵빵하게 영화관 굿굿굿!!!^^,10,커넥트,anne****
21.01.20,코코가 슬픈기억과 죽음을 아름답게 표현했다면소울은 탄생과 살아가야하는 이유를 따뜻하게 표현했다..정말 픽사의 상상력은 어디까지인가...,10,소울,noye****
21.01.20,살아가야 할 이유는 대단한 것이 아닌 아주 작은것에서도 찾을 수 있다. 너무도 당연하게 생각하지만 가장 소중한 것은 평범한 일상이라는 메세지가 이 시기에 더 와닿는다.,10,소울,chde****
21.01.20,현생도 매크로 안돌리면 바보취급 당하는 세상,6,내언니전지현과 나,njoi****
21.01.20,무슨말을 하고싶은지는 모르겠으나 영화적 체험은 충분,7,후쿠오카,njoi****
21.01.20,"찰리 쉰과 말론브란도의 조합, 연출, 영상미 등 무엇하나 빠지지 않는 명작.",10,지옥의 묵시록,show****
21.01.20,멈추면 비로소 보이는 것들 ....,8,소울,dins****
date,desc,star,title,writer
21.01.20,연출 스토리 연기 영상미 다 고냥 고냥 일본 영화,6,"나는 내일, 어제의 너와 만난다",nars****
21.01.20,너무 힘든시기에 큰 울림을 주었습니다.거창한 목표나 목적이 없다고해서 살아가는 의미가 없는것은 아닙니다.과거와 미래에 잡혀있지않는 현재를 열심히 살아가는 사람이 되어야겠다고 느낀 영화입니다.,10,소울,ekdu****
21.01.20,"각 인물들이 보여주는 자멸.. 그로 인해 스스로 생각하게 되는 내 자멸은 무엇인가.. 시간이 지나도 영화의 이 영화의 영상미는 계속 기억 될 것 같아요. 아름다움, 신비로움",8,서던 리치: 소멸의 땅,dnfl****
21.01.20,재즈영화여서 귀 호강을 기대하고 봤더니 심금을 울리네,10,소울,leah****
21.01.20,소재 참신!!연출과 긴장감 굿!!!사운드 빵빵하게 영화관 굿굿굿!!!^^,10,커넥트,anne****
21.01.20,코코가 슬픈기억과 죽음을 아름답게 표현했다면소울은 탄생과 살아가야하는 이유를 따뜻하게 표현했다..정말 픽사의 상상력은 어디까지인가...,10,소울,noye****
21.01.20,살아가야 할 이유는 대단한 것이 아닌 아주 작은것에서도 찾을 수 있다. 너무도 당연하게 생각하지만 가장 소중한 것은 평범한 일상이라는 메세지가 이 시기에 더 와닿는다.,10,소울,chde****
21.01.20,현생도 매크로 안돌리면 바보취급 당하는 세상,6,내언니전지현과 나,njoi****
21.01.20,무슨말을 하고싶은지는 모르겠으나 영화적 체험은 충분,7,후쿠오카,njoi****
21.01.20,"찰리 쉰과 말론브란도의 조합, 연출, 영상미 등 무엇하나 빠지지 않는 명작.",10,지옥의 묵시록,show****
